Frequency,ExpectedPeak2Peak,RealPeak2Peak,RealGain
50000.0  ,60.00            ,64.00        ,21.33333
51000.0  ,60.00            ,64.00        ,21.33333
52000.0  ,60.00            ,64.00        ,21.33333
53000.0  ,60.00            ,64.00        ,21.33333
54000.0  ,60.00            ,64.00        ,21.33333
55000.0  ,60.00            ,64.00        ,21.33333
56000.0  ,60.00            ,64.00        ,21.33333
57000.0  ,60.00            ,64.00        ,21.33333
58000.0  ,60.00            ,63.00        ,21.00000
59000.0  ,60.00            ,63.00        ,21.00000
60000.0  ,60.00            ,63.00        ,21.00000
61000.0  ,60.00            ,63.00        ,21.00000
62000.0  ,60.00            ,63.00        ,21.00000
63000.0  ,60.00            ,63.00        ,21.00000
64000.0  ,60.00            ,63.00        ,21.00000
65000.0  ,60.00            ,63.00        ,21.00000
66000.0  ,60.00            ,63.00        ,21.00000
67000.0  ,60.00            ,63.00        ,21.00000
68000.0  ,60.00            ,63.00        ,21.00000
69000.0  ,60.00            ,63.00        ,21.00000
70000.0  ,60.00            ,63.00        ,21.00000
71000.0  ,60.00            ,63.00        ,21.00000
72000.0  ,60.00            ,62.00        ,20.66667
73000.0  ,60.00            ,62.00        ,20.66667
74000.0  ,60.00            ,62.00        ,20.66667
75000.0  ,60.00            ,62.00        ,20.66667
76000.0  ,60.00            ,62.00        ,20.66667
77000.0  ,60.00            ,62.00        ,20.66667
78000.0  ,60.00            ,62.00        ,20.66667
79000.0  ,60.00            ,62.00        ,20.66667
80000.0  ,60.00            ,62.00        ,20.66667
81000.0  ,60.00            ,62.00        ,20.66667
82000.0  ,60.00            ,61.00        ,20.33333
83000.0  ,60.00            ,61.00        ,20.33333
84000.0  ,60.00            ,61.00        ,20.33333
85000.0  ,60.00            ,61.00        ,20.33333
86000.0  ,60.00            ,61.00        ,20.33333
87000.0  ,60.00            ,61.00        ,20.33333
88000.0  ,60.00            ,61.00        ,20.33333
89000.0  ,60.00            ,60.00        ,20.00000
90000.0  ,60.00            ,60.00        ,20.00000
91000.0  ,60.00            ,60.00        ,20.00000
92000.0  ,60.00            ,60.00        ,20.00000
93000.0  ,60.00            ,60.00        ,20.00000
94000.0  ,60.00            ,60.00        ,20.00000
95000.0  ,60.00            ,59.00        ,19.66667
96000.0  ,60.00            ,59.00        ,19.66667
97000.0  ,60.00            ,59.00        ,19.66667
98000.0  ,60.00            ,59.00        ,19.66667
99000.0  ,60.00            ,59.00        ,19.66667
100000.0 ,60.00            ,59.00        ,19.66667
101000.0 ,60.00            ,59.00        ,19.66667
102000.0 ,60.00            ,59.00        ,19.66667
103000.0 ,60.00            ,59.00        ,19.66667
104000.0 ,60.00            ,59.00        ,19.66667
105000.0 ,60.00            ,59.00        ,19.66667
106000.0 ,60.00            ,59.00        ,19.66667
107000.0 ,60.00            ,55.00        ,18.33333
108000.0 ,60.00            ,55.00        ,18.33333
109000.0 ,60.00            ,55.00        ,18.33333
110000.0 ,60.00            ,55.00        ,18.33333
111000.0 ,60.00            ,55.00        ,18.33333
112000.0 ,60.00            ,55.00        ,18.33333
113000.0 ,60.00            ,53.00        ,17.66667
114000.0 ,60.00            ,53.00        ,17.66667
115000.0 ,60.00            ,53.00        ,17.66667
116000.0 ,60.00            ,53.00        ,17.66667
117000.0 ,60.00            ,53.00        ,17.66667
118000.0 ,60.00            ,53.00        ,17.66667
119000.0 ,60.00            ,53.00        ,17.66667
120000.0 ,60.00            ,53.00        ,17.66667
121000.0 ,60.00            ,53.00        ,17.66667
122000.0 ,60.00            ,53.00        ,17.66667
123000.0 ,60.00            ,53.00        ,17.66667
124000.0 ,60.00            ,53.00        ,17.66667
125000.0 ,60.00            ,53.00        ,17.66667
126000.0 ,60.00            ,53.00        ,17.66667
127000.0 ,60.00            ,52.00        ,17.33333
128000.0 ,60.00            ,52.00        ,17.33333
129000.0 ,60.00            ,52.00        ,17.33333
130000.0 ,60.00            ,52.00        ,17.33333
131000.0 ,60.00            ,52.00        ,17.33333
132000.0 ,60.00            ,52.00        ,17.33333
133000.0 ,60.00            ,52.00        ,17.33333
134000.0 ,60.00            ,52.00        ,17.33333
135000.0 ,60.00            ,52.00        ,17.33333
136000.0 ,60.00            ,52.00        ,17.33333
137000.0 ,60.00            ,50.00        ,16.66667
138000.0 ,60.00            ,50.00        ,16.66667
139000.0 ,60.00            ,50.00        ,16.66667
140000.0 ,60.00            ,50.00        ,16.66667
141000.0 ,60.00            ,50.00        ,16.66667
142000.0 ,60.00            ,50.00        ,16.66667
143000.0 ,60.00            ,50.00        ,16.66667
144000.0 ,60.00            ,50.00        ,16.66667
145000.0 ,60.00            ,50.00        ,16.66667
146000.0 ,60.00            ,50.00        ,16.66667
147000.0 ,60.00            ,49.00        ,16.33333
148000.0 ,60.00            ,49.00        ,16.33333
149000.0 ,60.00            ,49.00        ,16.33333
150000.0 ,60.00            ,49.00        ,16.33333
151000.0 ,60.00            ,49.00        ,16.33333
152000.0 ,60.00            ,49.00        ,16.33333
153000.0 ,60.00            ,49.00        ,16.33333
