model,time,x,y,marked_x,marked_y
Nexus 5,1650298826197,289.0,366.6666666666667,180.0,296.0
Nexus 5,1650298826477,121.66666666666667,424.3333333333333,180.0,296.0
Nexus 5,1650298826867,207.66666666666666,471.0,180.0,296.0
Nexus 5,1650298827171,85.66666666666667,401.6666666666667,180.0,296.0
Nexus 5,1650298827375,271.3333333333333,304.0,180.0,296.0
Nexus 5,1650298827770,89.66666666666667,405.3333333333333,180.0,296.0
Nexus 5,1650298828304,134.33333333333334,171.33333333333334,180.0,296.0
Nexus 5,1650298828743,261.6666666666667,257.3333333333333,180.0,296.0
Nexus 5,1650298829116,100.33333333333333,244.33333333333334,180.0,296.0
Nexus 5,1650298829453,185.0,334.0,180.0,296.0
Nexus 5,1650298829750,240.0,318.6666666666667,180.0,296.0
Nexus 5,1650298830096,105.33333333333333,246.0,180.0,296.0
Nexus 5,1650298830409,232.66666666666666,266.6666666666667,180.0,296.0
Nexus 5,1650298830772,129.66666666666666,191.66666666666666,180.0,296.0
Nexus 5,1650298831060,157.66666666666666,151.33333333333334,180.0,296.0
Nexus 5,1650298831398,268.0,232.66666666666666,180.0,296.0
Nexus 5,1650298831761,125.66666666666667,234.33333333333334,180.0,296.0
Nexus 5,1650298832057,211.33333333333334,290.6666666666667,180.0,296.0
Nexus 5,1650298832378,255.0,317.6666666666667,180.0,296.0
Nexus 5,1650298832707,154.33333333333334,202.66666666666666,180.0,296.0
Nexus 5,1650298833003,245.0,244.33333333333334,180.0,296.0
Nexus 5,1650298833334,218.33333333333334,326.0,180.0,296.0
Nexus 5,1650298833654,119.33333333333333,305.6666666666667,180.0,296.0
Nexus 5,1650298834019,217.66666666666666,261.3333333333333,180.0,296.0
Nexus 5,1650298834323,255.0,293.6666666666667,180.0,296.0
Nexus 5,1650298834703,145.0,271.3333333333333,180.0,296.0
Nexus 5,1650298835057,139.33333333333334,161.66666666666666,180.0,296.0
Nexus 5,1650298835363,244.33333333333334,213.33333333333334,180.0,296.0
Nexus 5,1650298836132,196.0,309.0,180.0,296.0
Nexus 5,1650298836453,174.0,381.3333333333333,180.0,296.0
Nexus 5,1650298836783,228.0,329.6666666666667,180.0,296.0
Nexus 5,1650298837485,132.33333333333334,215.33333333333334,180.0,296.0
Nexus 5,1650298837950,106.66666666666667,381.3333333333333,180.0,296.0
Nexus 5,1650298838837,200.0,395.6666666666667,180.0,296.0
Nexus 5,1650298839622,90.0,376.0,180.0,296.0
Nexus 5,1650298840797,50.666666666666664,410.0,180.0,296.0
Nexus 5,1650298841033,199.33333333333334,284.0,180.0,296.0
Nexus 5,1650298841195,72.0,420.3333333333333,180.0,296.0
Nexus 5,1650298841363,211.33333333333334,349.0,180.0,296.0
Nexus 5,1650298841524,93.0,435.3333333333333,180.0,296.0
Nexus 5,1650298841719,137.33333333333334,245.0,180.0,296.0
Nexus 5,1650298841846,108.0,448.0,180.0,296.0
Nexus 5,1650298842031,179.66666666666666,348.3333333333333,180.0,296.0
Nexus 5,1650298842201,95.66666666666667,449.3333333333333,180.0,296.0
Nexus 5,1650298842369,175.66666666666666,284.3333333333333,180.0,296.0
Nexus 5,1650298842514,85.0,426.6666666666667,180.0,296.0
Nexus 5,1650298842682,141.66666666666666,247.66666666666666,180.0,296.0
