"Part";"Value";"Device";"Package";"Description";"";
"IC1";"SZNUD3160LT1G";"SZNUD3160LT1G";"SOT96P237X111-3N";"MOSFET Power Driver, 272mA, 3-pin SOT-23";"";
"IC2";"SZNUD3160LT1G";"SZNUD3160LT1G";"SOT96P237X111-3N";"MOSFET Power Driver, 272mA, 3-pin SOT-23";"";
"IC3";"SZNUD3160LT1G";"SZNUD3160LT1G";"SOT96P237X111-3N";"MOSFET Power Driver, 272mA, 3-pin SOT-23";"";
"IC4";"SZNUD3160LT1G";"SZNUD3160LT1G";"SOT96P237X111-3N";"MOSFET Power Driver, 272mA, 3-pin SOT-23";"";
"J1";"629104190121";"629104190121";"629104190121";"WR-COM USB 2.0 Type A Horizontal SMT Short Type";"";
"J2";"61300811121";"61300811121";"61300811121";"CONN HEADER VERT 8POS 2.54MM";"";
"J3";"61300211121";"61300211121";"61300211121";"CONN HEADER VERT 2POS 2.54MM";"";
"J4";"61300211121";"61300211121";"61300211121";"CONN HEADER VERT 2POS 2.54MM";"";
"K1";"9814-05-00";"9814-05-00";"SOP102P1295X457-8N";"COTO TECHNOLOGY - 9814-05-00 - RELAY, REED, SPST-NO, 100V, 0.25A, SMD";"";
"K2";"9814-05-00";"9814-05-00";"SOP102P1295X457-8N";"COTO TECHNOLOGY - 9814-05-00 - RELAY, REED, SPST-NO, 100V, 0.25A, SMD";"";
"K3";"9814-05-00";"9814-05-00";"SOP102P1295X457-8N";"COTO TECHNOLOGY - 9814-05-00 - RELAY, REED, SPST-NO, 100V, 0.25A, SMD";"";
"K4";"9814-05-00";"9814-05-00";"SOP102P1295X457-8N";"COTO TECHNOLOGY - 9814-05-00 - RELAY, REED, SPST-NO, 100V, 0.25A, SMD";"";
"LED1";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";
"MGT1";"BEAGLEBONEBLACK_MOUNTING_HOLE";"BEAGLEBONEBLACK_MOUNTING_HOLE";"BEAGLEBONEBLACK_MOUNTING_HOLE";"Chassis Mounting Hole w/GND connection ability";"";
